"id","name","nationality","nat_position","nat_kit","club","club_position","club_kit","club_join","contract_expiration","rate","height","weight","pref_foot","birth","age","pref_position"
1490,"Pablo Hernández","Spain",,,"Leeds United","CAM",19,"01/09/2017",2017,76,"173 cm","72 kg","Right","04/11/1985",31,"CAM/LM"
1491,"Miralem Sulejmani","Serbia",,,"BSC Young Boys","Sub",7,"06/10/2015",2018,76,"178 cm","73 kg","Left","12/05/1988",28,"LM/CAM"
1492,"Marko Marin","Germany",,,"Olympiakos CFP","Sub",11,"08/23/2016",2019,76,"170 cm","64 kg","Right","03/13/1989",28,"CAM/LW"
1493,"Adrián González","Spain",,,"SD Eibar","CAM",24,"08/19/2015",2018,76,"183 cm","76 kg","Left","05/25/1988",28,"CAM/CM/CDM"
1494,"Erik Pieters","Netherlands",,,"Stoke City","LB",3,"07/01/2013",2020,76,"182 cm","86 kg","Left","08/07/1988",28,"LB"
1495,"Papa Kouli Diop","Senegal",,,"RCD Espanyol","Sub",20,"08/31/2015",2018,76,"179 cm","77 kg","Right","03/19/1986",31,"CDM/CM"
1496,"Sergio Sánchez","Spain",,,"Rubin Kazan","Sub",6,"07/01/2016",2018,76,"185 cm","76 kg","Right","04/03/1986",30,"CB"
1497,"Granero","Spain",,,"Real Sociedad","Sub",8,"07/28/2014",2018,76,"180 cm","75 kg","Right","07/02/1987",29,"CM/CDM"
1498,"Lucas Deaux","France",,,"EA Guingamp","LCM",8,"07/01/2016",2019,76,"188 cm","72 kg","Right","12/26/1988",28,"CDM/CB"
1499,"Sidney Sam","Germany",,,"SV Darmstadt","RM",33,"07/01/2014",2018,76,"174 cm","71 kg","Left","01/31/1988",29,"RM/CAM"
1500,"Martin Harnik","Austria","Sub",11,"Hannover 96","ST",14,"07/18/2016",2019,76,"186 cm","80 kg","Right","06/10/1987",29,"ST/RM"
1501,"Nabil Dirar","Morocco",,,"AS Monaco","Sub",7,"01/31/2012",2018,76,"187 cm","82 kg","Right","02/25/1986",31,"RM"
1502,"Ludovic Baal","France",,,"Stade Rennais","LB",24,"06/12/2015",2019,76,"176 cm","75 kg","Left","05/24/1986",30,"LB"
1503,"Bojan Jokic","Slovenia","Sub",13,"FC Ufa","Res",5,"02/21/2017",2018,76,"176 cm","75 kg","Left","05/17/1986",30,"LB"
1504,"Fabian Lustenberger","Switzerland",,,"Hertha BSC","Sub",28,"08/08/2007",2019,76,"180 cm","70 kg","Right","05/02/1988",28,"CDM/CB"
1505,"Stefan Aigner","Germany",,,"1860 München","LW",29,"07/30/2016",2020,76,"183 cm","73 kg","Right","08/20/1987",29,"RM/ST"
1506,"Andreas Beck","Germany",,,"Besiktas","Sub",32,"07/04/2015",2018,76,"180 cm","74 kg","Right","03/13/1987",30,"RB/LB"
1507,"Simone Missiroli","Italy",,,"Sassuolo","Sub",7,"01/01/2012",2020,76,"191 cm","77 kg","Right","05/23/1986",30,"CM"
1508,"Yeom Ki Hun","Korea Republic",,,"Suwon Bluewings","LM",26,"01/01/2010",2018,76,"182 cm","78 kg","Left","03/30/1983",34,"LM"
1509,"Jozy Altidore","United States","ST",17,"Toronto FC","RS",17,"01/16/2015",2019,76,"183 cm","79 kg","Right","11/06/1989",27,"ST"
1510,"Jelle Vossen","Belgium",,,"Club Brugge","ST",9,"08/31/2015",2020,76,"180 cm","73 kg","Right","03/22/1989",28,"ST/CAM"
1511,"Sacha Kljestan","United States","RCM",16,"NY Red Bulls","RAM",16,"01/28/2015",2018,76,"185 cm","77 kg","Right","09/09/1985",31,"CAM/CM"
1512,"Sven Kums","Belgium",,,"Udinese","Sub",88,"08/29/2016",2021,76,"175 cm","69 kg","Right","02/26/1988",29,"CM/CDM"
1513,"Cristian Riveros","Paraguay","CM",16,"Free Agents","Res",99,"02/06/2015",2017,76,"178 cm","74 kg","Right","10/16/1982",34,"CM/CDM"
1514,"Gonzalo Castro","Uruguay",,,"Málaga CF","LM",11,"01/06/2016",2018,76,"176 cm","70 kg","Left","09/14/1984",32,"LM"
1515,"Adrián","Spain",,,"Villarreal CF","Sub",15,"07/12/2014",2019,76,"183 cm","73 kg","Right","01/08/1988",29,"ST"
1516,"Joselu","Spain",,,"RC Deportivo","Sub",7,"07/01/2015",2019,76,"192 cm","80 kg","Right","03/27/1990",27,"ST"
1517,"James Tomkins","England",,,"Crystal Palace","RCB",5,"07/05/2016",2021,76,"192 cm","74 kg","Right","03/29/1989",28,"CB/RB"
1518,"Siqueira","Brazil",,,"Valencia CF","Sub",6,"07/02/2014",2018,76,"183 cm","76 kg","Left","04/28/1986",30,"LB/LM"
1519,"Luca Cigarini","Italy",,,"Sampdoria","Sub",21,"07/20/2016",2019,76,"175 cm","74 kg","Right","06/20/1986",30,"CM/CDM"
1520,"Keiren Westwood","Republic of Ireland","Sub",1,"Sheffield Wed","GK",1,"07/07/2014",2019,76,"188 cm","86 kg","Left","10/23/1984",32,"GK"
1521,"Jonas Lössl","Denmark","Sub",16,"1. FSV Mainz 05","GK",1,"07/01/2016",2019,76,"195 cm","88 kg","Right","02/01/1989",28,"GK"
1522,"Mikel Gonzalez","Spain",,,"Real Sociedad","Sub",3,"09/01/2005",2017,76,"190 cm","79 kg","Right","09/24/1985",31,"CB"
1523,"Paul Aguilar","Mexico",,,"América","LCB",12,"07/01/2011",2019,76,"180 cm","67 kg","Right","03/06/1986",31,"RB"
1524,"Aythami Artiles","Spain",,,"UD Las Palmas","Sub",16,"08/23/2013",2021,76,"184 cm","78 kg","Right","04/02/1986",30,"CB"
1525,"Andrey Eschenko","Russia",,,"Spartak Moscow","RB",38,"06/16/2016",2023,76,"176 cm","74 kg","Right","02/09/1984",33,"RB/LB"
1526,"Lorenzo De Silvestri","Italy",,,"Torino","Sub",29,"08/18/2016",2020,76,"186 cm","84 kg","Right","05/23/1988",28,"RB/RM"
1527,"Tarik Elyounoussi","Norway","LM",11,"Olympiakos CFP","RW",18,"08/26/2016",2018,76,"172 cm","66 kg","Right","02/23/1988",29,"LW/RW"
1528,"Scott Sinclair","England",,,"Celtic","LW",11,"08/07/2016",2020,76,"173 cm","63 kg","Right","03/25/1989",28,"LM"
1529,"Andrea Masiello","Italy",,,"Atalanta","LCB",5,"07/26/2011",2018,76,"184 cm","82 kg","Right","02/05/1986",31,"CB/RB"
1530,"Danijel Milicevic","Bosnia Herzegovina",,,"KAA Gent","RF",77,"01/15/2014",2019,76,"170 cm","63 kg","Right","01/05/1986",31,"CF/CAM"
1531,"Hugo Rodallega","Colombia",,,"Trabzonspor","ST",28,"01/24/2017",2019,75,"181 cm","72 kg","Right","07/25/1985",31,"ST"
1532,"Roman Shishkin","Russia","Sub",6,"FC Krasnodar","Sub",30,"07/06/2010",2017,76,"176 cm","73 kg","Right","01/27/1987",30,"RB/CDM"
1533,"Mikhail Kerzhakov","Russia",,,"FC Orenburg","Sub",41,"07/01/2015",2019,76,"191 cm","82 kg","Right","01/28/1987",30,"GK"
1534,"Alan Kasaev","Russia",,,"Lokomotiv Moscow","LM",11,"07/01/2014",2019,76,"174 cm","76 kg","Right","04/08/1986",30,"LM"
1535,"Brad Jones","Australia",,,"Feyenoord","GK",25,"07/08/2016",2017,76,"194 cm","76 kg","Left","03/19/1982",35,"GK"
1536,"Doka","Brazil",,,"Medipol Basaksehir","LM",10,"07/31/2011",2017,76,"178 cm","70 kg","Right","12/11/1984",32,"LM"
1537,"Mariano Izco","Argentina",,,"Chievo Verona","Sub",13,"07/31/2014",2017,76,"180 cm","77 kg","Right","03/13/1983",34,"CM/CDM"
1538,"Lior Refaelov","Israel",,,"Club Brugge","RW",8,"07/01/2011",2019,76,"175 cm","70 kg","Right","04/26/1986",30,"RW/LW"
1539,"Caio","Brazil",,,"Grasshopper","CAM",21,"07/29/2013",2018,76,"186 cm","85 kg","Right","05/29/1986",30,"LM/CAM"
1540,"Eduardo","Portugal",,,"Chelsea","Sub",37,"09/02/2016",2017,76,"188 cm","86 kg","Right","09/19/1982",34,"GK"
1541,"Julien Féret","France",,,"SM Caen","LCM",25,"06/16/2014",2017,76,"187 cm","76 kg","Right","07/05/1982",34,"CM/CAM"
1542,"Stéphane Sessègnon","Benin",,,"Montpellier HSC","RDM",28,"09/26/2016",2018,76,"168 cm","75 kg","Right","06/01/1984",32,"CAM/CM/CDM"
1543,"Jonathan Orozco","Mexico",,,"Santos Laguna","GK",1,"01/01/2017",2018,76,"184 cm","79 kg","Right","05/12/1986",30,"GK"
1544,"Rolando","Portugal",,,"Olym. Marseille","LCB",6,"08/31/2015",2018,76,"189 cm","77 kg","Right","08/31/1985",31,"CB"
1545,"James Morrison","Scotland","LDM",26,"West Brom","CAM",7,"08/01/2007",2018,76,"178 cm","64 kg","Right","05/25/1986",30,"CAM/CM"
1546,"Marvin Matip","Cameroon",,,"FC Ingolstadt","RCB",34,"08/01/2010",2018,76,"184 cm","83 kg","Right","09/25/1985",31,"CB"
1547,"Néstor Ortigoza","Paraguay","Sub",20,"San Lorenzo","LCM",20,"02/04/2011",2017,76,"180 cm","78 kg","Right","10/07/1984",32,"CM"
1548,"Jesús Gámez","Spain",,,"Newcastle Utd","Sub",27,"07/08/2016",2018,76,"182 cm","77 kg","Right","04/10/1985",31,"RB/LB"
1549,"Abraham","Spain",,,"U.N.A.M.","RCM",10,"07/01/2016",2022,76,"178 cm","80 kg","Right","07/16/1985",31,"CM/CDM"
1550,"Trashorras","Spain",,,"Rayo Vallecano","RDM",10,"08/01/2011",2019,76,"179 cm","71 kg","Right","02/28/1981",36,"CDM/CM"
1551,"Julio Alberto Barroso","Argentina",,,"Colo-Colo","CB",5,"12/25/2013",2018,76,"175 cm","71 kg","Right","01/16/1985",32,"CB"
1552,"Pirmin Schwegler","Switzerland",,,"1899 Hoffenheim","Sub",16,"07/01/2014",2017,76,"178 cm","74 kg","Right","03/09/1987",30,"CDM/CM"
1553,"Oribe Peralta","Mexico","LW",19,"América","LS",24,"05/13/2014",2021,76,"179 cm","75 kg","Right","01/12/1984",33,"ST"
1554,"Gelson Fernandes","Switzerland","Sub",16,"Stade Rennais","RDM",6,"08/05/2014",2018,76,"179 cm","70 kg","Right","09/02/1986",30,"CDM/CM"
1555,"Aaron Hunt","Germany",,,"Hamburger SV","Sub",14,"08/31/2015",2018,76,"183 cm","73 kg","Left","09/04/1986",30,"CAM"
1556,"Mounir Obbadi","Morocco",,,"OGC Nice","CDM",24,"01/31/2017",2017,76,"172 cm","65 kg","Right","04/04/1983",33,"CM/CDM"
1557,"Guillaume Hoarau","France",,,"BSC Young Boys","LS",99,"08/30/2014",2018,76,"192 cm","80 kg","Right","03/05/1984",33,"ST"
1558,"José de Jesús Corona","Mexico","Sub",27,"Cruz Azul","GK",1,"01/01/2009",2022,76,"184 cm","84 kg","Right","01/26/1981",36,"GK"
1559,"Charlie Adam","Scotland",,,"Stoke City","LDM",16,"08/31/2012",2017,76,"185 cm","82 kg","Left","12/10/1985",31,"CM/CAM"
1560,"Alexandr Belenov","Russia","Sub",12,"FC Ufa","Sub",31,"02/22/2017",2017,76,"197 cm","91 kg","Right","09/13/1986",30,"GK"
1561,"Àngel Rangel","Spain",,,"Swansea City","Sub",22,"07/01/2007",2017,76,"180 cm","82 kg","Right","10/28/1982",34,"RB"
1562,"Jean-Louis Leca","France",,,"SC Bastia","GK",16,"07/19/2013",2019,76,"180 cm","75 kg","Right","09/21/1985",31,"GK"
1563,"Rubens Sambueza","Argentina",,,"Toluca","LCM",19,"12/30/2016",2020,76,"174 cm","74 kg","Left","01/01/1984",33,"LM/CM"
1564,"Jason Puncheon","England",,,"Crystal Palace","RCM",42,"01/31/2014",2018,76,"173 cm","71 kg","Left","06/26/1986",30,"CAM/LM/RM"
1565,"Jaroslav Drobný","Czech Republic",,,"Werder Bremen","Sub",33,"07/01/2016",2017,76,"192 cm","90 kg","Right","10/18/1979",37,"GK"
1566,"Wes Hoolahan","Republic of Ireland","CAM",14,"Norwich","LM",14,"06/26/2008",2018,76,"168 cm","71 kg","Left","05/20/1982",34,"CAM/LM"
1567,"Vladimir Gabulov","Russia",,,"Arsenal Tula","GK",25,"01/25/2017",2018,76,"190 cm","83 kg","Right","10/19/1983",33,"GK"
1568,"Diego Castro","Spain",,,"Perth Glory","LM",17,"08/06/2015",2017,76,"174 cm","71 kg","Right","07/02/1982",34,"CF/LM"
1569,"Cejudo","Spain",,,"Real Betis","Sub",16,"08/11/2014",2017,76,"180 cm","78 kg","Right","01/29/1984",33,"RM/RB"
1570,"Andrés Fernández","Spain",,,"Villarreal CF","GK",13,"07/30/2014",2018,76,"184 cm","86 kg","Right","12/16/1986",30,"GK"
1571,"Yalçin Ayhan","Turkey","Sub",18,"Medipol Basaksehir","RCB",2,"08/04/2014",2018,76,"192 cm","82 kg","Right","05/01/1982",34,"CB"
1572,"Boštjan Cesar","Slovenia","RCB",5,"Chievo Verona","Sub",12,"07/01/2010",2018,76,"191 cm","89 kg","Left","07/09/1982",34,"CB"
1573,"Leonardo Ponzio","Argentina",,,"River Plate","LDM",23,"01/01/2012",2018,76,"174 cm","71 kg","Right","01/29/1982",35,"CDM"
1574,"Alejandro Domínguez","Argentina",,,"Olympiakos CFP","Sub",10,"07/04/2013",2017,76,"175 cm","73 kg","Right","06/10/1981",35,"CAM/CM"
1575,"Darren Fletcher","Scotland","Sub",7,"West Brom","RDM",24,"02/02/2015",2017,76,"184 cm","74 kg","Right","02/01/1984",33,"CM/CDM"
1576,"Marc Janko","Austria","Sub",21,"FC Basel","Sub",21,"06/25/2015",2017,75,"196 cm","93 kg","Left","06/25/1983",33,"ST"
1577,"Marco Storari","Italy",,,"Milan","Sub",30,"01/11/2017",2017,76,"187 cm","76 kg","Right","01/07/1977",40,"GK"
1578,"Daniele Gastaldello","Italy",,,"Bologna","RCB",28,"02/02/2015",2018,76,"185 cm","77 kg","Right","06/25/1983",33,"CB"
1579,"Giampaolo Pazzini","Italy",,,"Hellas Verona","ST",11,"07/11/2015",2020,76,"180 cm","77 kg","Right","08/02/1984",32,"ST"
1580,"Franco Brienza","Italy",,,"Bari","RW",20,"08/30/2016",2018,76,"168 cm","68 kg","Left","03/19/1979",38,"CM/CF/RW"
1581,"Stijn Schaars","Netherlands",,,"SC Heerenveen","CDM",6,"07/25/2016",2018,76,"178 cm","76 kg","Left","01/11/1984",33,"CDM/CM"
1582,"Alexis","Spain",,,"Deport. Alavés","Sub",4,"07/29/2016",2018,76,"183 cm","75 kg","Right","08/04/1985",31,"CB/RB"
1583,"Hasan Ali Kaldirim","Turkey",,,"Fenerbahçe","LB",3,"07/01/2012",2017,76,"183 cm","75 kg","Left","12/09/1989",27,"LB"
1584,"Ersan Gülüm","Turkey",,,"Besiktas","Res",4,"02/08/2016",2019,76,"185 cm","85 kg","Left","05/17/1987",29,"CB"
1585,"Marco Borriello","Italy",,,"Cagliari","LS",22,"08/03/2016",2017,76,"185 cm","76 kg","Left","06/18/1982",34,"ST"
1586,"Kolo Touré","Ivory Coast",,,"Celtic","Sub",2,"07/24/2016",2017,76,"178 cm","76 kg","Right","03/19/1981",36,"CB"
1587,"Achille Emaná","Cameroon",,,"Gimnàstic","RS",25,"01/01/2017",2017,75,"180 cm","77 kg","Right","06/05/1982",34,"CAM/LM"
1588,"Gareth McAuley","Northern Ireland","CB",4,"West Brom","RCB",23,"07/01/2011",2017,76,"195 cm","89 kg","Right","12/05/1979",37,"CB"
1589,"Artur Boruc","Poland",,,"Bournemouth","GK",1,"07/01/2015",2017,76,"193 cm","87 kg","Right","02/20/1980",37,"GK"
1590,"Alberto Aquilani","Italy",,,"Sassuolo","CDM",21,"08/26/2016",2019,76,"186 cm","79 kg","Right","07/07/1984",32,"CM/CDM"
1591,"Wayne Routledge","England",,,"Swansea City","RM",15,"08/01/2011",2019,76,"170 cm","77 kg","Right","01/07/1985",32,"RM/LM"
1592,"Matthias Lehmann","Germany",,,"1. FC Köln","LDM",33,"07/01/2012",2018,76,"179 cm","75 kg","Right","05/28/1983",33,"CDM"
1593,"Steven Pienaar","South Africa",,,"Sunderland","Sub",20,"08/19/2016",2017,76,"170 cm","66 kg","Right","03/17/1982",35,"LM/CM"
1594,"Ludovic Butelle","France",,,"Club Brugge","GK",1,"01/01/2016",2018,76,"190 cm","86 kg","Left","04/03/1983",33,"GK"
1595,"Emiliano Moretti","Italy",,,"Torino","Res",24,"07/11/2013",2017,76,"182 cm","79 kg","Left","06/11/1981",35,"CB"
1596,"Jonas Olsson","Sweden",,,"Djurgårdens IF","RCB",13,"03/23/2017",2019,76,"193 cm","84 kg","Left","03/10/1983",34,"CB"
1597,"James Collins","Wales","Sub",19,"West Ham","Sub",19,"08/01/2012",2018,76,"193 cm","90 kg","Right","08/23/1983",33,"CB"
1598,"Nick Rimando","United States","Sub",22,"Real Salt Lake","GK",18,"01/01/2007",2018,76,"178 cm","83 kg","Right","06/17/1979",37,"GK"
1599,"Dario Dainelli","Italy",,,"Chievo Verona","RCB",3,"08/01/2012",2017,76,"191 cm","78 kg","Right","06/09/1979",37,"CB"
1600,"Maarten Stekelenburg","Netherlands",,,"Everton","Sub",22,"07/04/2016",2019,76,"197 cm","92 kg","Right","09/22/1982",34,"GK"
1601,"Paolo Cannavaro","Italy",,,"Sassuolo","LCB",28,"07/01/2014",2017,76,"185 cm","83 kg","Right","06/26/1981",35,"CB"
1602,"Carlos Soler","Spain",,,"Valencia CF","Sub",18,"07/01/2015",2018,75,"183 cm","72 kg","Right","01/02/1997",20,"CM/CAM"
1603,"Raphinha","Brazil",,,"V. Guimarães","LW",81,"02/01/2016",2020,75,"176 cm","66 kg","Left","12/14/1996",20,"LM"
1604,"Mikel Villanueva","Venezuela","LCB",3,"Málaga CF","Sub",4,"07/01/2016",2019,75,"190 cm","78 kg","Left","04/14/1993",23,"CB/LB"
1605,"Federico Ricca","Uruguay",,,"Málaga CF","Sub",15,"02/01/2016",2020,75,"179 cm","72 kg","Left","12/01/1994",22,"LB"
1606,"Maurício António","Brazil",,,"Marítimo","RCB",3,"02/01/2016",2019,75,"183 cm","82 kg","Right","02/06/1992",25,"CB"
1607,"Adalberto Peñaranda","Venezuela","Sub",18,"Málaga CF","Sub",16,"02/02/2016",2017,75,"183 cm","78 kg","Right","05/31/1997",19,"ST/LM"
1608,"Franck Yannick Kessié","Ivory Coast","LAM",19,"Atalanta","LCM",19,"08/31/2015",2021,75,"183 cm","76 kg","Right","12/19/1996",20,"CM/CDM"
1609,"Rafael Cachoira","Brazil",,,"Palmeiras","LCB",4,"02/01/2015",2020,75,"188 cm","84 kg","Right","02/29/1988",29,"CB/CDM"
1610,"Nicholas Aldair","Brazil",,,"Vitória","RS",9,"02/01/2015",2020,75,"187 cm","81 kg","Right","02/29/1992",25,"ST"
1611,"Luimo Boas Santos","Brazil",,,"Santa Cruz","ST",11,"08/31/2016",2020,75,"176 cm","73 kg","Right","02/29/1988",29,"ST"
1612,"Adilson Edrada","Brazil",,,"Criciúma","RAM",8,"02/01/2015",2020,75,"176 cm","72 kg","Right","02/29/1992",25,"CAM"
1613,"Allan Bardinho","Brazil",,,"Santos","CAM",9,"02/01/2015",2020,75,"175 cm","72 kg","Left","02/29/1992",25,"CAM/CM"
1614,"Simão Acunha","Brazil",,,"Santa Cruz","CAM",9,"08/31/2016",2020,75,"178 cm","71 kg","Right","02/29/1988",29,"CAM/CF"
1615,"Gabrisco Aníbal","Brazil",,,"Joinville","RDM",6,"02/01/2015",2020,75,"182 cm","77 kg","Right","02/29/1992",25,"CDM/CM"
1616,"Davi Parrela","Brazil",,,"Goiás","RCB",3,"02/01/2015",2020,75,"191 cm","88 kg","Right","02/29/1988",29,"CB/CDM"
1617,"Kaimo Lima","Brazil",,,"Vitória","RCB",3,"02/01/2015",2020,75,"188 cm","77 kg","Left","02/29/1984",33,"CB/LB"
1618,"Victildinho","Brazil",,,"São Paulo","RB",2,"02/01/2015",2020,75,"178 cm","75 kg","Right","02/29/1984",33,"RB/RM"
1619,"Andeson Trigo","Brazil",,,"Grêmio","LB",5,"02/01/2015",2020,75,"175 cm","68 kg","Left","02/29/1988",29,"LB/CAM"
1620,"Kaíquão Castro","Brazil",,,"Ponte Preta","GK",1,"02/01/2015",2020,75,"190 cm","88 kg","Right","02/29/1984",33,"GK"
1621,"Dani Rochelinhas","Brazil",,,"Cruzeiro","CAM",9,"08/31/2016",2020,75,"178 cm","75 kg","Left","02/29/1992",25,"CAM/CM"
1622,"Laure Santeiro","Brazil",,,"Chapecoense","LAM",10,"08/22/2016",2020,75,"171 cm","63 kg","Left","02/29/1988",29,"CAM/LW"
1623,"Jorginhson","Brazil",,,"Grêmio","RDM",6,"01/01/2015",2020,75,"178 cm","75 kg","Left","02/29/1992",25,"CDM/CAM"
1624,"Melvin Parrela","Brazil",,,"Fluminense","RDM",6,"01/01/2015",2020,75,"188 cm","88 kg","Right","02/29/1988",29,"CDM"
1625,"Otávio Cairinho","Brazil",,,"Palmeiras","RCB",3,"01/01/2015",2020,75,"179 cm","80 kg","Right","02/29/1992",25,"CB/RB"
1626,"Caio Nunson","Brazil",,,"Internacional","LCB",4,"01/01/2015",2019,75,"185 cm","85 kg","Left","02/29/1988",29,"CB/LB"
1627,"Juli Freitinho","Brazil",,,"Grêmio","LCB",4,"01/01/2015",2020,75,"192 cm","91 kg","Right","02/29/1988",29,"CB"
1628,"Alexo Baia","Brazil",,,"Atl. Paranaense","RB",2,"01/01/2015",2020,75,"175 cm","71 kg","Right","02/29/1988",29,"RB/RM"
1629,"Silas Almeim","Brazil",,,"Coritiba","LB",5,"01/01/2015",2020,75,"177 cm","76 kg","Left","02/29/1992",25,"LB/LM"
1630,"Simão Donatinho","Brazil",,,"A. Minas G.","GK",1,"01/01/2015",2020,75,"188 cm","82 kg","Left","02/29/1984",33,"GK"
1631,"Gastón Pereiro","Uruguay",,,"PSV","RW",7,"07/15/2015",2020,75,"188 cm","76 kg","Left","06/11/1995",21,"RW/LW"
1632,"Aminu Umar","Nigeria",,,"Osmanlispor","RM",27,"01/10/2015",2018,75,"174 cm","72 kg","Right","03/06/1995",22,"RM/LM"
1633,"Yoshinori Muto","Japan",,,"1. FSV Mainz 05","LS",9,"07/01/2015",2019,75,"179 cm","72 kg","Right","07/15/1992",24,"ST/LM"
1634,"Viktor Kovalenko","Ukraine",,,"Shakhtar Donetsk","CAM",74,"01/01/2014",2019,75,"182 cm","75 kg","Right","02/14/1996",21,"CAM/CM"
1635,"Kasper Dolberg","Denmark","Sub",13,"Ajax","ST",25,"07/01/2015",2021,75,"187 cm","82 kg","Right","10/06/1997",19,"ST"
1636,"Benjamin Henrichs","Germany",,,"Bayer 04","RB",39,"07/01/2015",2020,75,"182 cm","78 kg","Right","02/23/1997",20,"RB/LB"
1637,"Christian Pulisic","United States","RW",10,"Bor. Dortmund","Sub",22,"01/05/2016",2020,75,"173 cm","69 kg","Right","09/18/1998",18,"RM/LM"
1638,"Lucas Tousart","France",,,"Olym. Lyonnais","Sub",29,"08/31/2015",2020,75,"185 cm","83 kg","Right","04/29/1997",19,"CDM/CM"
1639,"Jakub Jankto","Czech Republic","LM",14,"Udinese","LCM",14,"08/01/2014",2023,75,"184 cm","73 kg","Left","01/19/1996",21,"CM/LM"
1640,"André Horta","Portugal",,,"SL Benfica","Sub",8,"07/01/2016",2021,75,"174 cm","67 kg","Right","11/07/1996",20,"CM/CAM"
1641,"Presnel Kimpembe","France",,,"PSG","Sub",3,"10/17/2014",2021,75,"183 cm","71 kg","Left","08/13/1995",21,"CB"
1642,"Hernani","Brazil",,,"Zenit","Sub",33,"01/25/2017",2021,75,"188 cm","77 kg","Right","03/27/1994",23,"CDM/CM"
1643,"David García","Spain",,,"CA Osasuna","Sub",5,"08/02/2013",2019,75,"185 cm","72 kg","Right","02/14/1994",23,"CB"
1644,"Mikel Merino","Spain",,,"Bor. Dortmund","Sub",24,"07/01/2016",2021,75,"187 cm","79 kg","Left","06/22/1996",20,"CDM/CM"
1645,"Orbelín Pineda","Mexico","Sub",21,"Guadalajara","RDM",7,"01/01/2016",2023,75,"168 cm","64 kg","Right","03/24/1996",21,"CM/CDM"
1646,"Rúben Neves","Portugal",,,"FC Porto","Sub",6,"07/01/2014",2019,75,"180 cm","75 kg","Right","03/13/1997",20,"CDM/CM"
1647,"Cristian Pavón","Argentina",,,"Boca Juniors","RW",7,"07/14/2014",2020,75,"175 cm","65 kg","Right","01/21/1996",21,"RM/ST"
1648,"Lucas Torreira","Uruguay",,,"Sampdoria","CM",34,"07/01/2015",2020,75,"168 cm","64 kg","Right","02/11/1996",21,"CM"
1649,"Erdem Sen","Turkey",,,"Marítimo","CDM",6,"08/18/2016",2019,75,"180 cm","75 kg","Right","01/05/1989",28,"CDM"
1650,"Afonso Figueiredo","Portugal",,,"Stade Rennais","Sub",25,"07/01/2016",2020,75,"169 cm","63 kg","Left","01/06/1993",24,"LB"
1651,"Mario Pašalic","Croatia",,,"Milan","LCM",80,"07/09/2014",2018,75,"188 cm","82 kg","Right","02/09/1995",22,"CM/CDM"
1652,"Ömer Ali Sahiner","Turkey",,,"Konyaspor","RM",7,"08/31/2012",2017,75,"175 cm","70 kg","Right","01/02/1992",25,"RM/RB"
1653,"Toshihiro Aoyama","Japan",,,"Sanfrecce Hiroshima","RCM",6,"01/01/2004",2023,75,"174 cm","75 kg","Right","02/22/1986",31,"CM/CDM"
1654,"Alexis Blin","France",,,"Toulouse FC","RDM",27,"12/14/2014",2020,75,"184 cm","78 kg","Right","09/16/1996",20,"CDM"
1655,"Thomas Touré","Ivory Coast",,,"Giron. Bordeaux","Res",10,"07/01/2014",2019,75,"175 cm","76 kg","Right","12/27/1993",23,"CAM"
1656,"Godfred Donsah","Ghana",,,"Bologna","Sub",17,"06/30/2016",2020,75,"175 cm","70 kg","Right","06/17/1996",20,"CM"
1657,"Raúl","Brazil",,,"Marítimo","LCB",34,"01/06/2015",2017,75,"189 cm","83 kg","Left","11/04/1989",27,"CB"
1658,"Mislav Oršic","Croatia",,,"Ulsan Hyundai","Sub",18,"02/09/2017",2019,75,"178 cm","72 kg","Right","12/29/1992",24,"LM/RM"
1659,"Sebastián Driussi","Argentina",,,"River Plate","RS",11,"12/01/2013",2019,75,"179 cm","82 kg","Right","02/09/1996",21,"ST/LM"
1660,"Lovre Kalinic","Croatia",,,"KAA Gent","GK",91,"01/01/2017",2021,75,"201 cm","90 kg","Left","04/03/1990",26,"GK"
1661,"Rafael Santos Borré","Colombia",,,"Villarreal CF","Sub",24,"08/28/2015",2021,75,"174 cm","70 kg","Right","09/15/1995",21,"ST/CAM"
1662,"Léo Bonatini","Brazil",,,"Al Hilal","ST",9,"07/18/2016",2019,75,"185 cm","80 kg","Right","03/28/1994",23,"ST"
1663,"Jaume","Spain",,,"Valencia CF","Sub",13,"09/24/2013",2022,75,"187 cm","76 kg","Right","11/05/1990",26,"GK"
1664,"Clément Lenglet","France",,,"Sevilla FC","LCB",5,"01/05/2017",2021,75,"186 cm","81 kg","Left","06/17/1995",21,"CB"
1665,"Diego Rico","Spain",,,"CD Leganés","LB",15,"08/17/2016",2018,75,"183 cm","76 kg","Left","02/23/1993",24,"LB/CB"
1666,"Alex Alegría","Spain",,,"Real Betis","Sub",19,"01/09/2015",2021,75,"189 cm","82 kg","Right","10/10/1992",24,"ST"
1667,"Munir","Spain",,,"Valencia CF","RW",9,"08/25/2014",2019,75,"175 cm","69 kg","Left","09/01/1995",21,"RW/LW/CF"
1668,"Tana","Spain",,,"UD Las Palmas","RM",24,"08/01/2013",2019,75,"168 cm","69 kg","Right","09/20/1990",26,"RM/LM/CAM"
1669,"Hamari Traoré","Mali",,,"Stade de Reims","RM",27,"07/20/2015",2018,73,"174 cm","57 kg","Right","01/27/1992",25,"RM/RB"
